Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection,Salary_USD_Display
Cybersecurity Analyst,Technology,Small,Toronto,Medium,Low,Machine Learning,91263.58455113032,No,Decline,"91,263.58$"
UX Designer,Retail,Medium,Berlin,Medium,Low,Cybersecurity,116207.69404339942,No,Growth,"116,207.69$"
HR Manager,Energy,Medium,Berlin,Medium,Medium,Python,77910.16782439903,Yes,Decline,"77,910.17$"
Cybersecurity Analyst,Manufacturing,Small,Sydney,Low,Low,Python,89023.80823789263,No,Stable,"89,023.81$"
UX Designer,Healthcare,Small,Paris,Medium,Medium,JavaScript,97369.6720667399,No,Decline,"97,369.67$"
Operations Manager,Education,Small,Sydney,Low,Low,Project Management,86409.79074516977,No,Growth,"86,409.79$"
Marketing Specialist,Manufacturing,Medium,Paris,Low,High,Communication,109060.48294290472,Yes,Decline,"109,060.48$"
Data Scientist,Healthcare,Medium,London,Medium,High,Data Analysis,45848.72549419468,Yes,Growth,"45,848.73$"
Software Engineer,Finance,Large,Singapore,Low,Medium,Project Management,138448.1107757988,Yes,Growth,"138,448.11$"
Data Scientist,Entertainment,Small,Paris,High,Low,Python,107155.49213990325,No,Decline,"107,155.49$"
Sales Manager,Transportation,Medium,San Francisco,Medium,Low,Python,86529.36341929967,Yes,Stable,"86,529.36$"
Sales Manager,Transportation,Medium,Sydney,Low,High,Sales,78953.56652845311,No,Growth,"78,953.57$"
Cybersecurity Analyst,Education,Small,Toronto,Medium,High,Machine Learning,72671.58777102892,Yes,Decline,"72,671.59$"
Operations Manager,Energy,Large,Singapore,Medium,Low,Cybersecurity,102912.30948339474,Yes,Growth,"102,912.31$"
Operations Manager,Retail,Small,London,Medium,Low,Data Analysis,109899.63337584709,No,Stable,"109,899.63$"
HR Manager,Energy,Large,Paris,Low,Low,JavaScript,86749.477437402,Yes,Decline,"86,749.48$"
HR Manager,Retail,Medium,London,High,Low,Cybersecurity,112139.80825957004,No,Decline,"112,139.81$"
HR Manager,Energy,Large,Toronto,High,Low,Sales,71854.79906477756,No,Decline,"71,854.80$"
Marketing Specialist,Entertainment,Medium,Berlin,Low,Low,Python,68323.78300026328,Yes,Stable,"68,323.78$"
AI Researcher,Finance,Small,Dubai,Medium,Medium,JavaScript,126266.82410491098,No,Growth,"126,266.82$"
